LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1990	420985.8961	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1991	414721.1119	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1992	427877.5497	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1993	446013.745	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1994	465608.7249	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1995	482911.8878	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1996	501071.5488	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1997	519037.3384	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1998	547056.5059	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	1999	568424.2638	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2000	587597.4197	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2001	603570.3006	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2002	626521.4349	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2003	646925.9815	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2004	671256.0052	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2005	693391.4268	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2006	711472.3101	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2007	744814.84	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2008	763589.6377	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2009	775482.2798	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2010	792980.4314	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2011	813376.5975	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2012	842916.566	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2013	863550.1827	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2014	885749.6807	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2015	911549.2454	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2016	946475.8562	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2017	983554.1088	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2018	1020828.758	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2019	1058135.553	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2020	1095687.973	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2021	1133435.593	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2022	1171685.817	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2023	1210607.327	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2024	1250350.494	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2025	1290975.242	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2026	1331644.91	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2027	1373373.192	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2028	1416091.359	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2029	1459603.321	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2030	1503774.916	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2031	1547916.334	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2032	1592723.822	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2033	1638205.399	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2034	1684407.179	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2035	1731316.991	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2036	1777863.198	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2037	1825076.166	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2038	1872927.745	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2039	1921350.289	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2040	1970272.05	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2041	2018586.204	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2042	2067586.521	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2043	2117278.042	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2044	2167701.313	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2045	2218914.461	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2046	2269842.185	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2047	2321780.12	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2048	2374713.194	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2049	2428603.553	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2050	2483415.195	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2051	2538143.327	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2052	2593843.175	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2053	2650550.037	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2054	2708267.121	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2055	2766954.829	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2056	2826567.261	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2057	2887107.455	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2058	2948576.3	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2059	3010972.57	
AUS	GDPLTFORECAST	TOT	MLN_USD	A	2060	3074303.178	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1990	195240.1247	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1991	201727.8982	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1992	205675.6794	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1993	207339.755	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1994	212396.1508	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1995	218517.3015	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1996	222971.9078	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1997	228451.6062	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1998	237037.487	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	1999	245173.9886	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2000	254691.1979	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2001	257186.1228	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2002	261077.6992	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2003	263498.0265	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2004	269203.1422	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2005	276649.4827	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2006	287228.6351	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2007	297722.7855	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2008	300357.9251	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2009	289971.6062	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2010	295425.2594	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2011	303935.3008	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2012	306039.1841	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2013	307354.4935	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2014	311829.6305	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2015	318504.1085	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2016	327001.493	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2017	335298.6485	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2018	343043.1363	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2019	350408.4642	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2020	357609.511	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2021	364711.0758	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2022	371820.094	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2023	379000.991	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2024	386293.9086	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2025	393724.1045	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2026	401307.7849	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2027	409060.2693	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2028	416985.2392	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2029	425073.8261	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2030	433314.1121	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2031	441695.1494	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2032	450204.9891	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2033	458828.5508	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2034	467545.0804	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2035	476333.88	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2036	485176.5261	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2037	494057.9782	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2038	502966.1895	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2039	511889.9893	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2040	520821.7453	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2041	529761.1041	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2042	538712.6858	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2043	547681.6472	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2044	556673.0996	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2045	565691.7989	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2046	574744.0427	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2047	583835.0831	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2048	592966.2283	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2049	602135.9261	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2050	611342.3583	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2051	620588.0727	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2052	629879.4957	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2053	639221.8161	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2054	648616.6546	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2055	658063.3461	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2056	667565.4413	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2057	677130.0342	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2058	686761.1093	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2059	696456.8837	
AUT	GDPLTFORECAST	TOT	MLN_USD	A	2060	706213.3788	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1990	250149.3163	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1991	254734.7391	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1992	258633.8486	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1993	256146.1192	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1994	264411.8814	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1995	270717.4628	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1996	274562.7357	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1997	284820.4126	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1998	290315.632	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	1999	300592.0471	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2000	311643.6314	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2001	314140.7411	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2002	318411.0749	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2003	320978.2062	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2004	331485.3969	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2005	337311	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2006	346304.3426	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2007	356271.0847	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2008	359778.0839	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2009	349705.8163	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2010	357829.3127	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2011	364178.5987	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2012	363676.6126	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2013	364522.7896	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2014	370165.6705	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2015	376630.9591	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2016	383799.5142	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2017	391511.0972	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2018	399595.7473	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2019	408076.2332	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2020	416989.4954	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2021	426331.8646	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2022	436064.8047	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2023	446002.8809	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2024	456144.3575	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2025	466496.5343	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2026	477073.703	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2027	487901.3997	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2028	498995.5725	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2029	510354.3582	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2030	521968.9593	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2031	533828.5076	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2032	545921.2438	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2033	558046.5992	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2034	570193.697	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2035	582370.8316	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2036	594587.5739	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2037	606857.2795	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2038	619193.7415	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2039	631606.7525	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2040	644105.7885	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2041	656705.9714	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2042	669427.6111	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2043	682289.2258	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2044	695305.6034	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2045	708488.9557	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2046	721853.6199	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2047	735417.0892	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2048	749195.6783	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2049	763206.3457	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2050	777465.4664	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2051	791991.8922	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2052	806804.8529	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2053	821918.2313	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2054	837339.7388	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2055	853071.7574	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2056	869119.0565	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2057	885488.973	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2058	902184.4369	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2059	919202.1204	
BEL	GDPLTFORECAST	TOT	MLN_USD	A	2060	936537.0611	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1990	773384.3186	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1991	756986.8814	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1992	763454.2014	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1993	783360.2826	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1994	819034.1839	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1995	841463.396	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1996	855596.8535	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1997	891988.5688	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1998	928900.5294	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	1999	975320.4663	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2000	1025286.929	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2001	1042598.001	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2002	1071809.827	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2003	1092445.379	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2004	1126735.132	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2005	1162375.425	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2006	1192850.372	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2007	1216806.711	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2008	1231108.792	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2009	1197727.622	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2010	1238142.01	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2011	1269444.919	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2012	1291139.61	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2013	1317079.603	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2014	1349458.422	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2015	1386212.171	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2016	1415076.197	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2017	1442842.979	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2018	1471372.067	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2019	1500984.83	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2020	1531657.679	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2021	1563309.763	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2022	1595901.385	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2023	1629444.784	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2024	1663666.468	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2025	1698391.55	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2026	1733646.52	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2027	1769473.771	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2028	1805878.865	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2029	1842820.647	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2030	1880255.698	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2031	1918150.002	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2032	1956513.747	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2033	1995364.379	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2034	2034715.94	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2035	2074569.483	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2036	2114929.737	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2037	2155816.529	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2038	2197251.071	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2039	2239239.681	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2040	2281788.924	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2041	2324927.395	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2042	2368716.898	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2043	2413206.632	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2044	2458424.486	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2045	2504383.073	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2046	2551096.324	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2047	2598594.475	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2048	2646888.755	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2049	2695973.695	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2050	2745832.147	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2051	2796455.201	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2052	2847856.692	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2053	2900035.032	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2054	2952967.675	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2055	3006611.035	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2056	3060929.535	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2057	3115912.445	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2058	3171542.07	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2059	3227802.424	
CAN	GDPLTFORECAST	TOT	MLN_USD	A	2060	3284691.114	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1990	188605.6068	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1991	161795.6774	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1992	151461.1236	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1993	150038.2502	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1994	153969.8739	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1995	163111.9696	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1996	169899.2637	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1997	168395.2371	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1998	168025.5869	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	1999	170560.6107	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2000	178323.8941	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2001	183823.524	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2002	187600.2848	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2003	194659.8916	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2004	203580.3927	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2005	217477.5508	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2006	233188.4539	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2007	246530.7176	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2008	253706.4863	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2009	242653.0225	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2010	248253.0279	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2011	252789.4157	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2012	250415.8868	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2013	248048.3651	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2014	251148.3136	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2015	257257.1155	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2016	267913.7094	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2017	279504.4227	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2018	291114.5662	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2019	302603.0544	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2020	313983.0778	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2021	325268.3034	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2022	336457.8607	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2023	347545.8365	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2024	358530.9003	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2025	369417.4387	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2026	380216.7268	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2027	390941.8519	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2028	401594.5232	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2029	412158.2394	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2030	422605.165	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2031	432901.1425	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2032	443009.2681	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2033	452894.8215	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2034	462533.2183	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2035	471910.8582	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2036	481025.5431	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2037	489890.1029	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2038	498527.943	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2039	506970.9005	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2040	515257.1767	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2041	523431.8079	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2042	531543.2746	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2043	539635.2966	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2044	547744.5147	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2045	555902.8391	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2046	564140.8263	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2047	572486.3044	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2048	580964.5725	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2049	589601.6119	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2050	598424.5945	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2051	607464.3889	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2052	616755.0275	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2053	626325.089	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2054	636191.4817	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2055	646366.2126	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2056	656865.7513	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2057	667712.2644	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2058	678919.8538	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2059	690483.6968	
CZE	GDPLTFORECAST	TOT	MLN_USD	A	2060	702390.4237	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1990	130796.7322	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1991	132497.6482	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1992	135115.0869	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1993	134994.017	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1994	142452.8559	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1995	146819.5222	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1996	150981.1845	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1997	155810.2449	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1998	159176.2217	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	1999	163252.0873	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	2000	169012.6876	
DNK	GDPLTFORECAST	TOT	MLN_USD	A	2001	170203.9459	
